Время (сек);Влажность (%);Давление (Па);Температура (°C)
0.10;30.36;99181;27.75
0.60;30.36;99181;27.76
1.11;30.35;99183;27.76
1.61;30.35;99181;27.76
2.11;30.32;99183;27.76
2.62;30.33;99189;27.76
3.12;30.35;99183;27.76
3.62;31.81;99183;27.78
4.13;31.89;99186;27.78
4.63;38.11;99248;27.98
5.13;41.45;99177;28.22
5.65;40.66;99180;28.20
6.16;41.01;99183;28.22
6.66;41.52;99175;28.30
7.16;42.13;99178;28.39
7.66;44.42;99168;28.58
8.17;46.17;99169;28.74
8.67;46.66;99180;28.79
9.17;44.47;99177;28.66
9.67;42.75;99182;28.63
10.17;41.64;99182;28.62
10.68;40.55;99188;28.63
11.18;39.81;99182;28.64
11.68;39.06;99182;28.64
12.18;38.25;99188;28.65
12.69;37.67;99183;28.67
13.19;36.96;99183;28.67
13.69;36.24;99180;28.67
14.19;35.36;99180;28.68
14.70;34.61;99183;28.68
15.20;34.05;99185;28.68
15.70;33.60;99183;28.69
16.20;33.18;99185;28.68
16.71;32.80;99183;28.69
17.21;32.40;99183;28.68
17.71;32.04;99188;28.69
18.22;31.76;99185;28.68
18.72;31.52;99174;28.65
19.22;31.30;99177;28.66
19.72;31.15;99183;28.67
20.23;31.05;99185;28.67
20.73;30.95;99180;28.66
21.23;30.90;99177;28.65
21.73;30.81;99180;28.66
22.23;30.77;99182;28.65
22.73;30.67;99180;28.66
23.24;30.60;99182;28.65
23.74;30.56;99177;28.65
24.24;30.49;99180;28.65
24.74;30.45;99180;28.64
25.24;30.35;99185;28.64
25.74;30.31;99185;28.63
26.25;30.23;99185;28.63
26.75;30.17;99185;28.62
27.25;30.13;99182;28.62
27.75;30.06;99185;28.62
28.25;30.02;99182;28.61
28.76;30.00;99188;28.61
29.26;29.99;99185;28.61
29.76;29.97;99185;28.60
